id,evidence
f2b9242d-308c-4de5-bda9-468a44c83bfe,Diffrence in enrollement = `Enrollment (K-12)` - `Enrollment (Ages 5-17)`
b4b7f5b0-479b-4631-9df6-c47472c73773,District Special Education Consortia School refers to EdOpsCode = 'SPECON'.
880dc5d7-7bbf-4675-aa4f-88c11df4a5c0,K-12 refers to students in grades 1 through 12.
7c067a52-0b96-461b-92aa-46c717afb9de,Difference between K-12 enrollment and 15-17 enrollment can be computed by `Enrollment (K-12)` - `Enrollment (Ages 5-17)`
07870256-a6f3-47db-9527-841294e4e83f,Average of average math = sum(average math scores) / count(schools).
e54cec52-6926-4bf4-837f-be28db099e00,Percent eligible for free meals = Free Meal Count (K-12) / Total (Enrollment (K-12)
d127e63a-20cb-48f7-95ae-a3d52589f489,Elementary School District refers to DOC = 52; Monthly average number of schools that opened in 1980 = count(schools that opened in 1980) / 12
4c34c259-6d1d-443a-b4ad-93a95e5ccf4e,Percent (%) Eligible Free (K-12) = `Free Meal Count (K-12)` / `Enrollment (K-12)` * 100%
3fef9be9-ae54-4a24-96da-6c8167da5420,"Chartered schools refer to Charter = 1 in the table schools; Full name refers to first name, last name"
83216dcf-acae-4b20-9706-f16fe4c39820,'Does not offer physical building' means Virtual = F in the database.
d0a2ff62-42c0-45d4-ad92-f5500d6b0e03,Kindergarten to 8th grade refers to K-8; 'Offers a magnet program' means Magnet = 1; Multiple Provision Types refers to `NSLP Provision Status` = 'Multiple Provision Types'
e78d9bd0-2759-4729-b624-af5da67cda36,Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`
9b083625-d290-4d22-a3b3-d4ea0c11aa9b,Excellence rate = NumGE1500 / NumTstTakr; Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`
6f3489ab-1530-4ec7-83e9-b7b5b7a9c7a1,Closure date and closed date are synonyms; 'Closed' was mentioned in schools.StatusType.
464b4fda-bc71-4d2e-917b-a0d9d387c600,K-12 means First-through-twelfth-grade
13aed9c5-c9b0-4ac2-8307-bc203033f0b6,"Execellence Rate = NumGE1500 / NumTstTakr; complete address has Street, City, State, Zip code"
07287191-daed-4bf4-87dc-36e7d88df438,High school can be represented as EILCode = 'HS'
9ad80b99-c004-4f1a-a5d6-d4126c16737e,Valid charter number means the number is not null
d5c48a5e-d758-4a7a-b57a-3adb524039ff,Elementary School District refers to DOC = 52; Unified School District refers to DOC = 54.
380d988e-fdd0-4fc2-a1f8-fad89b9310d4,Elementary School District refers to DOC = 52; Chartered schools refer to Charter = 1 in the table schools
7dcc141c-60b4-4a1c-a4cb-529d82e277fb,Directly funded schools refers to FundingType = 'Directly Funded'
17acc8f0-0bbc-4f48-b9cd-4e3c722411cd,Intermediate/Middle Schools refers to SOC = 62; Unified School refers to DOC = 54; years between 2009 and 2010 can refer to 'between 1/1/2009 to 12/31/2010'
a43cf63c-2d10-40b1-8700-5509875d5ce8,Total enrollment can be represented by `Enrollment (K-12)` + `Enrollment (Ages 5-17)`
fb6443ab-4d8f-4d16-b43b-ffe19660c95c,Average score for all subjects can be computed by AvgScrMath + AvgScrRead + AvgScrWrite
518e7476-ee5b-4aad-8e05-bb94607f4524,grades 1-12 means K-12; Eligible free or reduced price meal rate for K-12 = `FRPM Count (K-12)` / `Enrollment (K-12)`
274cc7f1-1647-407f-b96f-7361128766b2,State Special Schools refers to DOC = 31; Grades 1 through 12 means K-12
09c04e98-8ca6-4651-9e9d-9f51cd0d9cf4,Ratio in percentage = (count(locally funded schools in Santa Clara) / count(all funding type schools in Santa Clara) * 100%
ec3a9341-24d2-43b6-878c-248ec26df3ec,Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`
cdf1ad42-7917-4055-8a49-0286f1cf43e1,State Special School means EdOpsCode = 'SSS'
