id,original_column_name,column_name,data_format,column_description,generated_comment,value_description,sql_table_id,pk_field,fk_field
7339,accountcategorycode,accountcategorycode,INT,,,,479,,
7340,accountcategorycodename,accountcategorycodename,VARCHAR,,,,479,,
7341,accountclassificationcode,accountclassificationcode,INT,,,,479,,
7342,accountclassificationcodename,accountclassificationcodename,VARCHAR,,,,479,,
7343,accountid,accountid,VARCHAR,,,,479,PK,
7344,accountnumber,accountnumber,VARCHAR,,,,479,,
7345,accountratingcode,accountratingcode,INT,,,,479,,
7346,accountratingcodename,accountratingcodename,VARCHAR,,,,479,,
7347,address1_addressid,address1_addressid,VARCHAR,,,,479,,
7348,address1_addresstypecode,address1_addresstypecode,INT,,,,479,,
7349,address1_addresstypecodename,address1_addresstypecodename,VARCHAR,,,,479,,
7350,address1_city,address1_city,VARCHAR,,,,479,,
7351,address1_composite,address1_composite,VARCHAR,,,,479,,
7352,address1_country,address1_country,VARCHAR,,,,479,,
7353,address1_county,address1_county,VARCHAR,,,,479,,
7354,address1_fax,address1_fax,VARCHAR,,,,479,,
7355,address1_freighttermscode,address1_freighttermscode,INT,,,,479,,
7356,address1_freighttermscodename,address1_freighttermscodename,VARCHAR,,,,479,,
7357,address1_latitude,address1_latitude,FLOAT,,,,479,,
7358,address1_line1,address1_line1,VARCHAR,,,,479,,
7359,address1_line2,address1_line2,VARCHAR,,,,479,,
7360,address1_line3,address1_line3,VARCHAR,,,,479,,
7361,address1_longitude,address1_longitude,FLOAT,,,,479,,
7362,address1_name,address1_name,VARCHAR,,,,479,,
7363,address1_postalcode,address1_postalcode,VARCHAR,,,,479,,
7364,address1_postofficebox,address1_postofficebox,VARCHAR,,,,479,,
7365,address1_primarycontactname,address1_primarycontactname,VARCHAR,,,,479,,
7366,address1_shippingmethodcode,address1_shippingmethodcode,INT,,,,479,,
7367,address1_shippingmethodcodename,address1_shippingmethodcodename,VARCHAR,,,,479,,
7368,address1_stateorprovince,address1_stateorprovince,VARCHAR,,,,479,,
7369,address1_telephone1,address1_telephone1,VARCHAR,,,,479,,
7370,address1_telephone2,address1_telephone2,VARCHAR,,,,479,,
7371,address1_telephone3,address1_telephone3,VARCHAR,,,,479,,
7372,address1_upszone,address1_upszone,VARCHAR,,,,479,,
7373,address1_utcoffset,address1_utcoffset,INT,,,,479,,
7374,address2_addressid,address2_addressid,VARCHAR,,,,479,,
7375,address2_addresstypecode,address2_addresstypecode,INT,,,,479,,
7376,address2_addresstypecodename,address2_addresstypecodename,VARCHAR,,,,479,,
7377,address2_city,address2_city,VARCHAR,,,,479,,
7378,address2_composite,address2_composite,VARCHAR,,,,479,,
7379,address2_country,address2_country,VARCHAR,,,,479,,
7380,address2_county,address2_county,VARCHAR,,,,479,,
7381,address2_fax,address2_fax,VARCHAR,,,,479,,
7382,address2_freighttermscode,address2_freighttermscode,INT,,,,479,,
7383,address2_freighttermscodename,address2_freighttermscodename,VARCHAR,,,,479,,
7384,address2_latitude,address2_latitude,FLOAT,,,,479,,
7385,address2_line1,address2_line1,VARCHAR,,,,479,,
7386,address2_line2,address2_line2,VARCHAR,,,,479,,
7387,address2_line3,address2_line3,VARCHAR,,,,479,,
7388,address2_longitude,address2_longitude,FLOAT,,,,479,,
7389,address2_name,address2_name,VARCHAR,,,,479,,
7390,address2_postalcode,address2_postalcode,VARCHAR,,,,479,,
7391,address2_postofficebox,address2_postofficebox,VARCHAR,,,,479,,
7392,address2_primarycontactname,address2_primarycontactname,VARCHAR,,,,479,,
7393,address2_shippingmethodcode,address2_shippingmethodcode,INT,,,,479,,
7394,address2_shippingmethodcodename,address2_shippingmethodcodename,VARCHAR,,,,479,,
7395,address2_stateorprovince,address2_stateorprovince,VARCHAR,,,,479,,
7396,address2_telephone1,address2_telephone1,VARCHAR,,,,479,,
7397,address2_telephone2,address2_telephone2,VARCHAR,,,,479,,
7398,address2_telephone3,address2_telephone3,VARCHAR,,,,479,,
7399,address2_upszone,address2_upszone,VARCHAR,,,,479,,
7400,address2_utcoffset,address2_utcoffset,INT,,,,479,,
7401,adx_createdbyipaddress,adx_createdbyipaddress,VARCHAR,,,,479,,
7402,adx_createdbyusername,adx_createdbyusername,VARCHAR,,,,479,,
7403,adx_modifiedbyipaddress,adx_modifiedbyipaddress,VARCHAR,,,,479,,
7404,adx_modifiedbyusername,adx_modifiedbyusername,VARCHAR,,,,479,,
7405,aging30,aging30,DECIMAL,,,,479,,
7406,aging30_base,aging30_base,DECIMAL,,,,479,,
7407,aging60,aging60,DECIMAL,,,,479,,
7408,aging60_base,aging60_base,DECIMAL,,,,479,,
7409,aging90,aging90,DECIMAL,,,,479,,
7410,aging90_base,aging90_base,DECIMAL,,,,479,,
7411,bcbi_companyid,bcbi_companyid,VARCHAR,,,,479,,
7412,bcbi_companyidname,bcbi_companyidname,VARCHAR,,,,479,,
7413,businesstypecode,businesstypecode,INT,,,,479,,
7414,businesstypecodename,businesstypecodename,VARCHAR,,,,479,,
7415,createdby,createdby,VARCHAR,,,,479,,
7416,createdbyexternalparty,createdbyexternalparty,VARCHAR,,,,479,,
7417,createdbyexternalpartyname,createdbyexternalpartyname,VARCHAR,,,,479,,
7418,createdbyexternalpartyyominame,createdbyexternalpartyyominame,VARCHAR,,,,479,,
7419,createdbyname,createdbyname,VARCHAR,,,,479,,
7420,createdbyyominame,createdbyyominame,VARCHAR,,,,479,,
7421,createdon,createdon,VARCHAR,,,,479,,
7422,createdonbehalfby,createdonbehalfby,VARCHAR,,,,479,,
7423,createdonbehalfbyname,createdonbehalfbyname,VARCHAR,,,,479,,
7424,createdonbehalfbyyominame,createdonbehalfbyyominame,VARCHAR,,,,479,,
7425,creditlimit,creditlimit,DECIMAL,,,,479,,
7426,creditlimit_base,creditlimit_base,DECIMAL,,,,479,,
7427,creditonhold,creditonhold,VARCHAR,,,,479,,
7428,creditonholdname,creditonholdname,VARCHAR,,,,479,,
7429,customersizecode,customersizecode,INT,,,,479,,
7430,customersizecodename,customersizecodename,VARCHAR,,,,479,,
7431,customertypecode,customertypecode,INT,,,,479,,
7432,customertypecodename,customertypecodename,VARCHAR,,,,479,,
7433,defaultpricelevelid,defaultpricelevelid,VARCHAR,,,,479,,
7434,defaultpricelevelidname,defaultpricelevelidname,VARCHAR,,,,479,,
7435,description,description,VARCHAR,,,,479,,
7436,donotbulkemail,donotbulkemail,VARCHAR,,,,479,,
7437,donotbulkemailname,donotbulkemailname,VARCHAR,,,,479,,
7438,donotbulkpostalmail,donotbulkpostalmail,VARCHAR,,,,479,,
7439,donotbulkpostalmailname,donotbulkpostalmailname,VARCHAR,,,,479,,
7440,donotemail,donotemail,VARCHAR,,,,479,,
7441,donotemailname,donotemailname,VARCHAR,,,,479,,
7442,donotfax,donotfax,VARCHAR,,,,479,,
7443,donotfaxname,donotfaxname,VARCHAR,,,,479,,
7444,donotphone,donotphone,VARCHAR,,,,479,,
7445,donotphonename,donotphonename,VARCHAR,,,,479,,
7446,donotpostalmail,donotpostalmail,VARCHAR,,,,479,,
7447,donotpostalmailname,donotpostalmailname,VARCHAR,,,,479,,
7448,donotsendmarketingmaterialname,donotsendmarketingmaterialname,VARCHAR,,,,479,,
7449,donotsendmm,donotsendmm,VARCHAR,,,,479,,
7450,emailaddress1,emailaddress1,VARCHAR,,,,479,,
7451,emailaddress2,emailaddress2,VARCHAR,,,,479,,
7452,emailaddress3,emailaddress3,VARCHAR,,,,479,,
7453,entityimage,entityimage,VARCHAR,,,,479,,
7454,entityimage_timestamp,entityimage_timestamp,INT,,,,479,,
7455,entityimage_url,entityimage_url,VARCHAR,,,,479,,
7456,entityimageid,entityimageid,VARCHAR,,,,479,,
7457,exchangerate,exchangerate,DECIMAL,,,,479,,
7458,fax,fax,VARCHAR,,,,479,,
7459,followemail,followemail,VARCHAR,,,,479,,
7460,followemailname,followemailname,VARCHAR,,,,479,,
7461,ftpsiteurl,ftpsiteurl,VARCHAR,,,,479,,
7462,importsequencenumber,importsequencenumber,INT,,,,479,,
7463,industrycode,industrycode,INT,,,,479,,
7464,industrycodename,industrycodename,VARCHAR,,,,479,,
7465,isprivatename,isprivatename,VARCHAR,,,,479,,
7466,lastonholdtime,lastonholdtime,VARCHAR,,,,479,,
7467,lastusedincampaign,lastusedincampaign,VARCHAR,,,,479,,
7468,marketcap,marketcap,DECIMAL,,,,479,,
7469,marketcap_base,marketcap_base,DECIMAL,,,,479,,
7470,marketingonly,marketingonly,VARCHAR,,,,479,,
7471,marketingonlyname,marketingonlyname,VARCHAR,,,,479,,
7472,masteraccountidname,masteraccountidname,VARCHAR,,,,479,,
7473,masteraccountidyominame,masteraccountidyominame,VARCHAR,,,,479,,
7474,masterid,masterid,VARCHAR,,,,479,,
7475,merged,merged,VARCHAR,,,,479,,
7476,mergedname,mergedname,VARCHAR,,,,479,,
7477,modifiedby,modifiedby,VARCHAR,,,,479,,
7478,modifiedbyexternalparty,modifiedbyexternalparty,VARCHAR,,,,479,,
7479,modifiedbyexternalpartyname,modifiedbyexternalpartyname,VARCHAR,,,,479,,
7480,modifiedbyexternalpartyyominame,modifiedbyexternalpartyyominame,VARCHAR,,,,479,,
7481,modifiedbyname,modifiedbyname,VARCHAR,,,,479,,
7482,modifiedbyyominame,modifiedbyyominame,VARCHAR,,,,479,,
7483,modifiedon,modifiedon,VARCHAR,,,,479,,
7484,modifiedonbehalfby,modifiedonbehalfby,VARCHAR,,,,479,,
7485,modifiedonbehalfbyname,modifiedonbehalfbyname,VARCHAR,,,,479,,
7486,modifiedonbehalfbyyominame,modifiedonbehalfbyyominame,VARCHAR,,,,479,,
7487,msa_managingpartnerid,msa_managingpartnerid,VARCHAR,,,,479,,
7488,msa_managingpartneridname,msa_managingpartneridname,VARCHAR,,,,479,,
7489,msa_managingpartneridyominame,msa_managingpartneridyominame,VARCHAR,,,,479,,
7490,msdyn_accountkpiid,msdyn_accountkpiid,VARCHAR,,,,479,,
7491,msdyn_accountkpiidname,msdyn_accountkpiidname,VARCHAR,,,,479,,
7492,msdyn_gdproptout,msdyn_gdproptout,VARCHAR,,,,479,,
