id,name,description,generated_comment,sql_db
479,account,,"Stores detailed information about customer accounts, including various addresses, financial data, communication preferences, and specific business attributes. It serves as a central repository for account-related master data.",13
480,activitypointer,,,13
481,appointment,,,13
482,contatti,,,13
483,contatti_tipi,,,13
484,email,,,13
485,indirizzi,,,13
486,indirizzi_cap,,,13
487,indirizzi_citta,,,13
488,indirizzi_nazioni,,,13
489,indirizzi_province,,,13
490,phonecall,,,13
491,product,,,13
492,soci,,,13
493,soci_ateco_secondari,,,13
494,task,,,13
495,var_codiceateco,,,13
496,z_old_account,,,13
