id,source_table,target_table,source_column,target_column
185,284,286,2140,2180
186,285,286,2169,2180
203,313,312,2483,2440
204,313,288,2484,2250
205,313,314,2485,2497
194,295,292,2332,2291
187,289,316,2274,2534
188,290,289,2286,2273
189,290,317,2287,2543
192,294,303,2313,2382
193,294,304,2314,2386
190,291,288,2289,2250
191,291,298,2288,2352
195,296,288,2333,2250
196,297,314,2349,2497
207,315,312,2522,2440
208,315,288,2521,2250
209,315,314,2523,2497
197,299,298,2363,2352
198,303,304,2383,2386
206,314,293,2498,2304
202,311,312,2437,2440
201,311,288,2436,2250
200,310,297,2428,2345
199,310,314,2427,2497
229,360,332,2822,2620
211,321,332,2560,2620
210,321,332,2561,2620
213,334,333,2633,2628
214,334,335,2634,2635
212,329,329,2611,2605
215,336,335,2673,2635
216,337,335,2674,2635
218,338,339,2679,2680
217,338,348,2678,2739
219,341,340,2691,2688
220,341,342,2692,2695
230,361,348,2828,2739
222,349,348,2747,2739
231,362,350,2836,2753
223,350,343,2756,2704
221,347,363,2738,2841
232,364,356,2848,2793
224,355,325,2790,2579
225,355,332,2791,2620
226,355,356,2792,2793
227,357,348,2801,2739
228,357,358,2802,2805
233,365,348,2852,2739
234,370,371,2879,2882
236,372,371,2890,2882
235,372,371,2891,2882
237,375,376,2900,2902
238,375,385,2901,2957
239,381,381,2932,2926
240,386,385,2995,2957
241,387,385,2996,2957
243,390,384,3008,2949
242,390,397,3007,3047
244,392,378,3018,2916
245,392,391,3019,3009
246,393,397,3025,3047
247,394,397,3031,3047
248,399,400,3059,3068
249,400,379,3071,2919
250,401,403,3086,3108
251,408,407,3132,3122
252,409,368,3134,2865
253,409,371,3135,2882
254,409,407,3136,3122
255,411,397,3149,3047
256,411,410,3150,3137
257,413,397,3162,3047
