id,source_table,source_column,target_table,target_column
210,321,2561,332,2620
211,321,2560,332,2620
212,329,2611,329,2605
213,334,2633,333,2628
214,334,2634,335,2635
215,336,2673,335,2635
216,337,2674,335,2635
217,338,2678,348,2739
218,338,2679,339,2680
219,341,2691,340,2688
220,341,2692,342,2695
221,347,2738,363,2841
222,349,2747,348,2739
223,350,2756,343,2704
224,355,2790,325,2579
225,355,2791,332,2620
226,355,2792,356,2793
227,357,2801,348,2739
228,357,2802,358,2805
229,360,2822,332,2620
230,361,2828,348,2739
231,362,2836,350,2753
232,364,2848,356,2793
233,365,2852,348,2739
