id,name,description,generated_comment,sql_db
318,book,"Informazioni sui libri prodotti e commercializzati, incluse le diverse conteggi delle pagine (reali, fiscali e da tastiera) e i dettagli sull'ultima ristampa.","Informazioni sui libri prodotti e commercializzati, incluse le diverse conteggi delle pagine (reali, fiscali e da tastiera) e i dettagli sull'ultima ristampa.",9
319,cdrom,"Questa tabella contiene informazioni sui CD-ROM prodotti e commercializzati. L'ID è una colonna non nullabile, indicando un identificatore obbligatorio per ogni record.","Questa tabella contiene informazioni sui CD-ROM prodotti e commercializzati. L'ID è una colonna non nullabile, indicando un identificatore obbligatorio per ogni record.",9
320,classification_text,"Nomi e descrizioni nelle rispettive lingue degli elementi di classificazione. Contiene i testi associati agli ID di classificazione, con 'text1' che rappresenta il nome o la descrizione principale e 'text2' che fornisce testo descrittivo aggiuntivo o lo scopo.","Nomi e descrizioni nelle rispettive lingue degli elementi di classificazione. Contiene i testi associati agli ID di classificazione, con 'text1' che rappresenta il nome o la descrizione principale e 'text2' che fornisce testo descrittivo aggiuntivo o lo scopo.",9
321,classification_type_to_classification_type,Not enough information to make a valid prediction,Not enough information to make a valid prediction,9
322,component,"Rappresenta i componenti che costituiscono un prodotto astratto. Un componente può essere un documento, una sessione di corso o altri elementi. Questo include i componenti associati a un prodotto tramite la relazione 'è composto da'. Attualmente, supporta solo il tipo 'DOCUMENT', riferendosi ai record di StdDocument.","Rappresenta i componenti che costituiscono un prodotto astratto. Un componente può essere un documento, una sessione di corso o altri elementi. Questo include i componenti associati a un prodotto tramite la relazione 'è composto da'. Attualmente, supporta solo il tipo 'DOCUMENT', riferendosi ai record di StdDocument.",9
323,course,Not enough information to make a valid prediction,Not enough information to make a valid prediction,9
324,document_type,Gestisce e classifica i diversi tipi di documenti all'interno del sistema.,Gestisce e classifica i diversi tipi di documenti all'interno del sistema.,9
325,classification,"Questo è parte dello schema di classificazione dei prodotti UNI e include tutti gli elementi di classificazione, con ogni elemento categorizzato per tipo di classificazione e livello. Gli elementi di primo livello (livello=1) non hanno un padre, mentre gli elementi di livello N hanno un padre di livello N-1. Esempi di classificazioni includono ICS (Classificazione Internazionale per gli Standard) e Aree Tematiche. La colonna 'code' fornisce il codice aziendale assegnato dall'utente, 'level' indica la posizione gerarchica e 'parent_id' punta all'elemento di classificazione padre. 'Tylparty_id' sembra essere un ID esterno a Iside, utilizzato da ETL.","Questo è parte dello schema di classificazione dei prodotti UNI e include tutti gli elementi di classificazione, con ogni elemento categorizzato per tipo di classificazione e livello. Gli elementi di primo livello (livello=1) non hanno un padre, mentre gli elementi di livello N hanno un padre di livello N-1. Esempi di classificazioni includono ICS (Classificazione Internazionale per gli Standard) e Aree Tematiche. La colonna 'code' fornisce il codice aziendale assegnato dall'utente, 'level' indica la posizione gerarchica e 'parent_id' punta all'elemento di classificazione padre. 'Tylparty_id' sembra essere un ID esterno a Iside, utilizzato da ETL.",9
326,phase_type,"Tipi di fase per i progetti, inclusi i codici e le descrizioni, con indicazione del sistema di origine.","Tipi di fase per i progetti, inclusi i codici e le descrizioni, con indicazione del sistema di origine.",9
327,process,"Gestione dei processi, con date di inizio e fine, stato, fase corrente e riferimenti a progetti e tipi di processo.","Gestione dei processi, con date di inizio e fine, stato, fase corrente e riferimenti a progetti e tipi di processo.",9
328,process_type,"Elenca i processi applicabili utilizzabili in vari contesti all'interno dell'organizzazione. Contiene dettagli come la descrizione, il nome del processo, il codice e il nome del workflow JBPM associato.","Elenca i processi applicabili utilizzabili in vari contesti all'interno dell'organizzazione. Contiene dettagli come la descrizione, il nome del processo, il codice e il nome del workflow JBPM associato.",9
329,price_group,Not enough information to make a valid prediction,Not enough information to make a valid prediction,9
330,product_subtype,"Definisce i sottotipi dei prodotti, corrispondenti al campo TPQUAL del CSB per la categorizzazione dei tipi di prodotto. Contiene un codice identificativo univoco per ciascun sottotipo, una descrizione testuale e il tipo di prodotto associato. Ad esempio, sottotipi come 'ABBONAMENTI CNI' o 'Corso E-learning' sono associati a tipi di prodotto come 'SUBSCRIPTION' o 'CDROM'.","Definisce i sottotipi dei prodotti, corrispondenti al campo TPQUAL del CSB per la categorizzazione dei tipi di prodotto. Contiene un codice identificativo univoco per ciascun sottotipo, una descrizione testuale e il tipo di prodotto associato. Ad esempio, sottotipi come 'ABBONAMENTI CNI' o 'Corso E-learning' sono associati a tipi di prodotto come 'SUBSCRIPTION' o 'CDROM'.",9
331,product_to_classification,"Tabella che gestisce la relazione (il predicato ""appartiene a"") tra i Prodotti e la Classificazione, indicando a quali categorie di classificazione appartengono i prodotti. Ogni associazione è identificata da un ID univoco. La classificazione è ulteriormente specificata da un ID di tipo di classificazione.","Tabella che gestisce la relazione (il predicato ""appartiene a"") tra i Prodotti e la Classificazione, indicando a quali categorie di classificazione appartengono i prodotti. Ogni associazione è identificata da un ID univoco. La classificazione è ulteriormente specificata da un ID di tipo di classificazione.",9
332,classification_type,"Definisce i tipi o le famiglie di classificazioni, come Aree Tematiche, ICS (International Classification for Standards) e Commissioni responsabili per uno standard, includendo l'associazione tra codici di classificazione e dettagli descrittivi.","Definisce i tipi o le famiglie di classificazioni, come Aree Tematiche, ICS (International Classification for Standards) e Commissioni responsabili per uno standard, includendo l'associazione tra codici di classificazione e dettagli descrittivi.",9
333,credit_supplier,Fornitori di credito.,Fornitori di credito.,9
334,credit,Not enough information to make a valid prediction,Not enough information to make a valid prediction,9
335,product_item,"Questa tabella rappresenta un ""ProductItem"" vendibile, associato a un SKU e corrispondente a una variante di un prodotto. Rappresenta uno specifico mezzo di distribuzione, una lingua o altre varianti dello stesso documento. Include dettagli specifici per corsi (sede, date di inizio/fine, annullamento, docente) e abbonamenti (tipo di servizio, abbonamento, numero di utenti).","Questa tabella rappresenta un ""ProductItem"" vendibile, associato a un SKU e corrispondente a una variante di un prodotto. Rappresenta uno specifico mezzo di distribuzione, una lingua o altre varianti dello stesso documento. Include dettagli specifici per corsi (sede, date di inizio/fine, annullamento, docente) e abbonamenti (tipo di servizio, abbonamento, numero di utenti).",9
336,product_item_to_component,"Rappresenta la relazione tra un product_item (prodotto + variante) e i suoi componenti, indicando quali componenti dovrebbero essere consegnati al cliente che ha acquistato un dato product_item. Include informazioni sul periodo di validità della relazione (start_date, end_date) e sul tipo di relazione (type_code), come TXTUFF che codifica il link tra un productitem ed il PDF del testo ufficiale.","Rappresenta la relazione tra un product_item (prodotto + variante) e i suoi componenti, indicando quali componenti dovrebbero essere consegnati al cliente che ha acquistato un dato product_item. Include informazioni sul periodo di validità della relazione (start_date, end_date) e sul tipo di relazione (type_code), come TXTUFF che codifica il link tra un productitem ed il PDF del testo ufficiale.",9
337,product_item_to_teacher,Associazione tra articoli di prodotti e insegnanti.,Associazione tra articoli di prodotti e insegnanti.,9
338,product_to_product,Not enough information to make a valid prediction,Not enough information to make a valid prediction,9
